test_type,delta_mu,delta_s,ratio
delta_s_positive,0.5,2.803448275862069,1.5247697599692356
delta_s_positive,0.5,2.9724137931034487,1.4884961216712773
delta_s_positive,0.5,3.1413793103448278,1.4560462302262014
delta_s_positive,0.5,3.310344827586207,1.426945858913134
delta_s_positive,0.5,3.4793103448275864,1.4007799338612659
delta_s_positive,0.5,3.648275862068966,1.377187497359436
delta_s_positive,0.5,3.817241379310345,1.3558557144068035
delta_s_positive,0.5,3.986206896551724,1.3365138374639927
delta_s_positive,0.5,4.155172413793103,1.3189275660491733
delta_s_positive,0.5,4.324137931034483,1.3028939811884626
delta_s_positive,0.5,4.493103448275862,1.288237100229499
delta_s_positive,0.5,4.662068965517241,1.274804030234543
delta_s_positive,0.5,4.8310344827586205,1.2624616675716054
delta_s_positive,0.5,5.0,1.2510938804047174
