N,delta_mu,delta_s,D_indiv,D_fused,ratio_N,ratio_N2,ratio_eN,inequality_N,inequality_N2,inequality_eN
2,0.7827586206896552,-1.2144827586206897,0.6587321424955722,2.333243587923138,0.885505441970604,0.442752720985302,0.23968025959330716,True,True,True
2,0.7827586206896552,-1.0424137931034485,0.5490370079021154,2.010900848287232,0.9156490452123328,0.4578245226061664,0.24783924575829008,True,True,True
2,0.7827586206896552,-0.8703448275862069,0.4494073885112623,1.6978886119578238,0.9445152969015296,0.4722576484507648,0.2556524904549637,True,True,True
2,0.7827586206896552,-0.6982758620689653,0.36106885079059126,1.398293370853236,0.968162559433992,0.484081279716996,0.2620531084001663,True,True,True
2,0.7827586206896552,-0.5262068965517237,0.2852458161371999,1.1179437986092855,0.9798073585692556,0.4899036792846278,0.2652050127785751,True,True,True
2,0.7827586206896552,-0.354137931034483,0.22310626197625627,0.8649330481291135,0.9691940518249132,0.4845970259124566,0.2623323030299298,True,True,True
2,0.7827586206896552,-0.1820689655172414,0.17569723857480923,0.6499135985725604,0.9247635361893252,0.4623817680946626,0.2503062701941477,True,True,True
2,0.7827586206896552,-0.01,0.14387713889374987,0.4856238989044057,0.8438169931621805,0.42190849658109025,0.22839642353894113,True,True,True
2,1.124137931034483,-5.0,4.436655498634154,10.414562790722265,0.5868476149392509,0.29342380746962543,0.15884237636906826,True,True,True
2,1.124137931034483,-4.827931034482758,4.26570520772529,10.070431020066254,0.5901973137893163,0.29509865689465814,0.15974904125433018,True,True,True
2,1.124137931034483,-4.655862068965517,4.094965156868937,9.726301780059508,0.5937963698997847,0.29689818494989234,0.16072319981051958,True,True,True
2,1.124137931034483,-4.483793103448276,3.9244748978189126,9.382176110354495,0.5976707938410297,0.29883539692051486,0.16177189233345382,True,True,True
2,1.124137931034483,-4.3117241379310345,3.754281437434766,9.038055477793323,0.6018498898133264,0.3009249449066632,0.16290305060762136,True,True,True
2,1.124137931034483,-4.139655172413793,3.584440647444358,8.693941952012802,0.6063667115126754,0.3031833557563377,0.16412562129564268,True,True,True
2,1.124137931034483,-3.9675862068965517,3.415018941772826,8.349838453309054,0.6112585754044482,0.3056292877022241,0.16544970486633873,True,True,True
2,1.124137931034483,-3.7955172413793106,3.24609527204675,8.005749102568382,0.616567632157061,0.3082838160785305,0.16688671026500695,True,True,True
2,1.124137931034483,-3.623448275862069,3.0777635010168556,7.661679715437881,0.6223414918744208,0.3111707459372104,0.16844952414544168,True,True,True
2,1.124137931034483,-3.4513793103448274,2.910135224014873,7.317638500477673,0.6286338895948392,0.3143169447974196,0.17015269100090216,True,True,True
2,1.124137931034483,-3.279310344827586,2.7433431200106577,6.973637046062878,0.6355053616147537,0.31775268080737684,0.1720125962250373,True,True,True
2,1.124137931034483,-3.107241379310345,2.577544925904171,6.629691716588966,0.6430238761273338,0.3215119380636669,0.17404763680719454,True,True,True
2,1.124137931034483,-2.9351724137931035,2.4129281393930113,6.285825629968493,0.6512653161264198,0.3256326580632099,0.17627835204030226,True,True,True
2,1.124137931034483,-2.763103448275862,2.2497155652551672,5.942071462847289,0.6603136363788867,0.33015681818944337,0.17872746600866865,True,True,True
