N,delta_mu,delta_s,pattern,kl_fused,right_side,ratio,inequality_holds
5,2.0,-2.0,opposite_direction,0.0,13.334133868449047,0.0,True
5,2.0,-1.0,same_direction,8.228960020958326,34.593666373437955,0.237874758116901,True
5,2.0,-1.0,opposite_direction,-2.220446049250313e-16,8.166612718428768,-2.718931490701962e-17,True
5,2.0,-0.5,same_direction,5.730516883499141,24.947083668319255,0.2297068851689637,True
5,2.0,-0.5,opposite_direction,0.0,6.1371908362087515,0.0,True
5,2.0,0.5,same_direction,1.726023734904123,12.825734477548538,0.1345750403554299,True
5,2.0,0.5,opposite_direction,-2.220446049250313e-16,4.006594249808907,-5.541978824923978e-17,True
5,2.0,1.0,same_direction,3.6316057584420545,12.358559337190378,0.29385348723564664,True
5,2.0,1.0,opposite_direction,-2.220446049250313e-16,4.304291727065934,-5.1586792672250024e-17,True
5,2.0,2.0,same_direction,8.61379664277517,23.07106184437695,0.3733593495123238,True
5,2.0,2.0,opposite_direction,0.0,7.700506759548991,0.0,True
10,0.1,-2.0,same_direction,19.30685282150121,87.52897570833628,0.2205767023463799,True
10,0.1,-2.0,opposite_direction,0.0,9.86392695175565,0.0,True
10,0.1,-1.0,same_direction,9.3068982193698,24.55592493917424,0.37900825330030397,True
10,0.1,-1.0,opposite_direction,0.0,2.735705473995213,0.0,True
10,0.1,-0.5,same_direction,4.31359071571237,6.572667666984222,0.6562922293151027,True
10,0.1,-0.5,opposite_direction,0.0,0.7293278827826477,0.0,True
10,0.1,0.5,same_direction,3.6271811291086085,6.3283961931355215,0.5731596155504692,True
10,0.1,0.5,opposite_direction,0.0,0.7052092884837591,0.0,True
10,0.1,1.0,same_direction,8.61379643873951,24.095204734616125,0.35749007047715964,True
10,0.1,1.0,opposite_direction,0.0,2.690250084116861,0.0,True
10,0.1,2.0,same_direction,18.613705643002415,86.77037442379341,0.2145168298121153,True
10,0.1,2.0,opposite_direction,-2.220446049250313e-16,9.789296297229185,-2.268238678074133e-17,True
10,0.5,-2.0,same_direction,21.87180217706014,104.48295303191361,0.2093336907349809,True
10,0.5,-2.0,opposite_direction,0.0,11.6120367943763,0.0,True
10,0.5,-1.0,same_direction,11.871805669277057,36.563771026144515,0.32468767132329585,True
10,0.5,-1.0,opposite_direction,0.0,3.995941014640729,0.0,True
10,0.5,-0.5,same_direction,6.8723220914890355,15.431471953368003,0.4453445602763198,True
