N,delta_mu,delta_s,D_indiv,D_fused,ratio,mu_range,s_range
2,0.01,-0.42172413793103436,0.04417364489536124,0.17301219506983867,1.958319213635991,0.0-2.0,-2.0--0.0
2,0.01,-0.35310344827586215,0.031044410988615434,0.12235343000711196,1.9706192855773823,0.0-2.0,-2.0--0.0
2,0.01,-0.2844827586206897,0.020197312458950734,0.08002488414044562,1.9810775394768283,0.0-2.0,-2.0--0.0
2,0.01,-0.2158620689655173,0.011657225465896648,0.04638601734845582,1.9895822331033515,0.0-2.0,-2.0--0.0
2,0.01,-0.14724137931034487,0.005443925928261262,0.02173350218848169,1.9961239806419597,0.0-2.0,-2.0--0.0
2,0.01,-0.07862068965517244,0.001571908114389231,0.006291156059445857,2.001120804026863,0.0-2.0,-2.0--0.0
2,0.01,-0.01,5.0250199948864704e-05,0.0002020030633880232,2.0099727323829986,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-2.0,0.8723456061418774,2.673569116297547,1.5324024661062603,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.9313793103448276,0.820507761579065,2.5414897169617654,1.5487298450843872,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.8627586206896551,0.7697078916159272,2.4101536969322446,1.5656288074897868,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.7941379310344827,0.7200001500526259,2.2796654841944624,1.5831007007622417,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.7255172413793103,0.6714402636331953,2.1501433712558042,1.6011427134420535,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.6568965517241379,0.6240854204363708,2.0217211105701853,1.6197471086222175,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.5882758620689654,0.577994135936741,1.894549618279762,1.6389003801996294,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.5196551724137932,0.5332260956084792,1.7687987688242965,1.6585823381410758,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.4510344827586206,0.48984197317329686,1.6446592528145536,1.6787651353763269,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.3824137931034484,0.44790322387997195,1.5223444577823388,1.6994122576245323,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.3137931034482757,0.40747185254642604,1.402092315746418,1.7204775090405393,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.2451724137931035,0.36861015649671025,1.2841670428658416,1.7419040417532587,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.176551724137931,0.33138044398199534,1.1688606749498622,1.7636234970663645,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.1079310344827586,0.29584472918180477,1.05649427882394,1.7855553515281575,0.0-2.0,-2.0--0.0
2,0.07862068965517241,-1.0393103448275862,0.26206440543150283,0.9474186946584613,1.8076065940708097,0.0-2.0,-2.0--0.0
