N,delta_mu,delta_s,D_indiv,D_fused,ratio
2,0.1510204081632653,-2.145714285714286,0.9988000805301263,3.017378973964215,1.5105019677024363
2,0.1510204081632653,-2.0846938775510204,0.9506817783833649,2.8985547738352904,1.5244610971529744
2,0.1510204081632653,-2.023673469387755,0.9032862652815842,2.7801424266450696,1.5389044057801584
2,0.1510204081632653,-1.9626530612244897,0.8566487777330867,2.662193846266745,1.5538420852660269
2,0.1510204081632653,-1.9016326530612244,0.8108056727072831,2.544767267236436,1.5692830926672285
2,0.1510204081632653,-1.8406122448979592,0.7657943950163497,2.4279279537103426,1.5852348682040864
2,0.1510204081632653,-1.779591836734694,0.7216534353824062,2.3117489713645556,1.6017030183882885
2,0.1510204081632653,-1.7185714285714284,0.6784222785036349,2.196312023107189,1.61869096335655
2,0.1510204081632653,-1.6575510204081632,0.6361413404667475,2.0817083478765954,1.6361995483183118
2,0.1510204081632653,-1.596530612244898,0.5948518949032962,1.9680396796501345,1.6542266205355827
2,0.1510204081632653,-1.5355102040816326,0.5545959873552604,1.8554192609672346,1.6727665753725507
2,0.1510204081632653,-1.4744897959183674,0.5154163374024117,1.7439729016499637,1.6918098778544883
2,0.1510204081632653,-1.413469387755102,0.47735622821150403,1.6338400688516803,1.711342570068834
2,0.1510204081632653,-1.3524489795918366,0.4404593832960106,1.5251749889529747,1.7313457798763494
2,0.1510204081632653,-1.2914285714285714,0.40476983042532,1.4181477350489375,1.7517952530686272
2,0.1510204081632653,-1.230408163265306,0.3703317527937041,1.3129452657720095,1.7726609396405104
2,0.1510204081632653,-1.1693877551020406,0.33718932775098953,1.2097723719850146,1.7939066755968294
2,0.1510204081632653,-1.1083673469387754,0.3053865536069732,1.108852477591427,1.8154900150228936
2,0.1510204081632653,-1.04734693877551,0.2749670652475817,1.0104282296444782,1.837362283251421
2,0.1510204081632653,-0.9863265306122448,0.24597393953906033,0.9147618016211956,1.8594689407654355
2,0.1510204081632653,-0.9253061224489794,0.21844949174261863,0.8221348229794687,1.8817503680624803
2,0.1510204081632653,-0.8642857142857143,0.19243506441063218,0.7328478390991726,1.9041432010939743
2,0.1510204081632653,-0.8032653061224488,0.16797081048045415,0.6472191999645627,1.926582357116971
2,0.1510204081632653,-0.7422448979591834,0.14509547251629207,0.5655832753845188,1.949003871643935
2,0.1510204081632653,-0.6812244897959183,0.12384616026598227,0.4882879013626499,1.9713485679086147
2,0.1510204081632653,-0.6202040816326528,0.1042581288901524,0.41569097870869054,1.993566272164099
2,0.1510204081632653,-0.5591836734693878,0.08636456037849227,0.3481561731925048,2.0156194373404555
2,0.1510204081632653,-0.4981632653061223,0.07019635078422914,0.28604770787613487,2.037482751456651
2,0.1510204081632653,-0.43714285714285683,0.05578190597670196,0.22972429288041574,2.059129110579003
2,0.1510204081632653,-0.3761224489795918,0.04314694862743007,0.17953230409352672,2.080475095049845
2,0.1510204081632653,-0.3151020408163263,0.03231433910295145,0.13579839624931522,2.10120955617675
2,0.1510204081632653,-0.2540816326530613,0.02330391283528188,0.09882181093302855,2.1202836543272117
2,0.1510204081632653,-0.1930612244897958,0.016132336577402207,0.06886670773296855,2.134430663609988
2,0.1510204081632653,-0.1320408163265303,0.010812985728141378,0.04615489694878394,2.134234618874199
2,0.1510204081632653,-0.07102040816326527,0.007355844631679487,0.03085937518256565,2.097609229650072
2,0.1510204081632653,-0.01,0.005767431427489367,0.02309905309375515,2.0025424995655694
2,0.25204081632653064,-3.0,1.7669222786336674,4.844072591257816,1.3707656103028083
2,0.25204081632653064,-2.9389795918367345,1.7115372444665082,4.722544075731677,1.3796205986752306
2,0.25204081632653064,-2.8779591836734695,1.6564904253322372,4.601081938995412,1.3888042661256514
2,0.25204081632653064,-2.816938775510204,1.6018010745272329,4.479694764447569,1.3983305529276593
2,0.25204081632653064,-2.755918367346939,1.5474894122361502,4.358392240618866,1.408213912856732
2,0.25204081632653064,-2.6948979591836735,1.4935766581402508,4.237185302137608,1.418469309574509
2,0.25204081632653064,-2.633877551020408,1.4400850630594522,4.116086288309089,1.4291122079846061
2,0.25204081632653064,-2.572857142857143,1.3870379392899934,3.9951091214075136,1.4401585595605835
2,0.25204081632653064,-2.5118367346938775,1.3344596892614902,3.8742695069999287,1.4516247804922482
2,0.25204081632653064,-2.450816326530612,1.2823758320973273,3.7535851588573554,1.4635277213226805
2,0.25204081632653064,-2.389795918367347,1.2308130276211673,3.633076051256876,1.4758846265539785
2,0.25204081632653064,-2.3287755102040815,1.179799097310322,3.512764701736723,1.4887130824837214
2,0.25204081632653064,-2.2677551020408164,1.1293630416544056,3.392676487629831,1.5020309512961811
2,0.25204081632653064,-2.206734693877551,1.0795350533357433,3.272839999962843,1.5158562891727454
2,0.25204081632653064,-2.145714285714286,1.0303465256074085,3.153287438557624,1.5302072459062752
2,0.25204081632653064,-2.0846938775510204,0.9818300552063947,3.034055052397487,1.5451019432073128
2,0.25204081632653064,-2.023673469387755,0.9340194391046135,2.9151836295026516,1.5605583285810718
2,0.25204081632653064,-1.9626530612244897,0.8869496643704191,2.796719040674922,1.5765940013405997
2,0.25204081632653064,-1.9016326530612244,0.8406568903897951,2.6787128414888937,1.5932260070138902
2,0.25204081632653064,-1.8406122448979592,0.7951784226808452,2.56122293678548,1.6104705961151684
2,0.25204081632653064,-1.779591836734694,0.7505526775297142,2.44431431161127,1.6283429430004932
2,0.25204081632653064,-1.7185714285714284,0.7068191366824634,2.3280598319783437,1.6468568203355098
2,0.25204081632653064,-1.6575510204081632,0.6640182913478229,2.2125411179116856,1.6660242245892614
2,0.25204081632653064,-1.596530612244898,0.6221915748022079,2.0978494899039153,1.6858549479481564
2,0.25204081632653064,-1.5355102040816326,0.5813812829430582,1.9840869879872387,1.7063560921186076
2,0.25204081632653064,-1.4744897959183674,0.5416304822112812,1.8713674600142403,1.727531519620281
2,0.25204081632653064,-1.413469387755102,0.5029829044002285,1.7598177122431524,1.7493812382566067
2,0.25204081632653064,-1.3524489795918366,0.46548282798855334,1.6495787107588338,1.7719007142400949
2,0.25204081632653064,-1.2914285714285714,0.429174945778521,1.5408068164226432,1.7950801084481156
2,0.25204081632653064,-1.230408163265306,0.3941042187903123,1.4336750287257876,1.8189034275329476
2,0.25204081632653064,-1.1693877551020406,0.36031571655625294,1.3283742049353375,1.8433475753311335
2,0.25204081632653064,-1.1083673469387754,0.32785444417564835,1.2251142101399366,1.8683812769723818
2,0.25204081632653064,-1.04734693877551,0.2967651567289134,1.1241249412013647,1.893963822424445
2,0.25204081632653064,-0.9863265306122448,0.2670921619058393,1.0256571533572796,1.9200435273702732
2,0.25204081632653064,-0.9253061224489794,0.2388791119728777,0.9299830027329936,1.9465557181880846
2,0.25204081632653064,-0.8642857142857143,0.21216878648289783,0.8373962021279675,1.973419879543561
2,0.25204081632653064,-0.8032653061224488,0.1870028674114146,0.7482116724800315,2.0005352934881278
2,0.25204081632653064,-0.7422448979591834,0.16342170867833983,0.6627645603371773,2.027773928253576
2,0.25204081632653064,-0.6812244897959183,0.14146410227545714,0.5814084851359337,2.054968277407304
2,0.25204081632653064,-0.6202040816326528,0.12116704345806328,0.5045128824109659,2.0818898770340186
2,0.25204081632653064,-0.5591836734693878,0.10256549766529566,0.4324593240199063,2.108210528218567
2,0.25204081632653064,-0.4981632653061223,0.08569217199828727,0.3656367278669971,2.1334313236587414
2,0.25204081632653064,-0.43714285714285683,0.07057729419975645,0.30443542056581907,2.1567518563701866
2,0.25204081632653064,-0.3761224489795918,0.05724840213511828,0.24924008842799283,2.1768300872374895
2,0.25204081632653064,-0.3151020408163263,0.045730146767339,0.20042174369289745,2.191352508801054
2,0.25204081632653064,-0.2540816326530613,0.03604411154096998,0.15832893869951525,2.1963218391379784
2,0.25204081632653064,-0.1930612244897958,0.02820865094276903,0.1232785708964037,2.1851199326496817
2,0.25204081632653064,-0.1320408163265303,0.022238750787279216,0.09554672210656157,2.148203444979815
2,0.25204081632653064,-0.07102040816326527,0.01814591248849151,0.07536004953743403,2.076502065829669
2,0.25204081632653064,-0.01,0.01593806322898028,0.06288827704198763,1.9728958324006858
2,0.35306122448979593,-3.0,1.8180374474048087,5.021549622897028,1.3810358059634946
2,0.35306122448979593,-2.9389795918367345,1.762372348787177,4.8999378150013655,1.3901539644483718
2,0.35306122448979593,-2.8779591836734695,1.7070302899733933,4.778381636677213,1.3996182917034503
2,0.35306122448979593,-2.816938775510204,1.652029856759515,4.656888293191409,1.4094443493672613
2,0.35306122448979593,-2.755918367346939,1.597390591546551,4.535465920766441,1.419648376786583
2,0.35306122448979593,-2.6948979591836735,1.5431330284239495,4.414123706226428,1.4302473036737187
2,0.35306122448979593,-2.633877551020408,1.4892787276795627,4.292872021840833,1.4412587590402013
2,0.35306122448979593,-2.572857142857143,1.435850309427281,4.171722577245445,1.452701075402987
2,0.35306122448979593,-2.5118367346938775,1.3828714860043512,4.050688590537962,1.4645932870602325
2,0.35306122448979593,-2.450816326530612,1.3303670927487383,3.9297849808840133,1.4769551209976515
2,0.35306122448979593,-2.389795918367347,1.2783631167229905,3.8090285852293317,1.4898069787063142
2,0.35306122448979593,-2.3287755102040815,1.2268867229052625,3.6884384019949663,1.5031699068601705
2,0.35306122448979593,-2.2677551020408164,1.1759662773208808,3.5680358649341977,1.5170655544064566
2,0.35306122448979593,-2.206734693877551,1.1256313665396247,3.447845150650012,1.5315161131522361
2,0.35306122448979593,-2.145714285714286,1.0759128129155664,3.3278935236072225,1.5465442383705412
