d,N,trial,kl_fused,right_side,ratio,inequality_holds
1,3,0,0.7945574950833607,6.353987052844669,0.12504864874215296,True
1,3,1,1.2154789188383286,4.886661954365806,0.2487339885977593,True
1,3,2,1.8957227578389664,6.487364281829638,0.2922177136173265,True
1,3,3,0.06384679858719844,10.087935511771654,0.0063290252512712185,True
1,3,4,1.345700065662343,9.736871080997604,0.13820662248354093,True
1,3,5,1.9076719145027652,8.993684053208847,0.2121124005709461,True
1,3,6,1.0044532820057859,8.538914796058558,0.11763242824128275,True
1,3,7,1.4586709164494502,4.839134329879956,0.3014322019214613,True
1,3,8,0.41582628238717234,7.682466533663457,0.05412666369128739,True
1,3,9,1.0330413629832504,10.486532389091085,0.09851124515267805,True
1,3,10,2.4447647076672956,11.131288927384823,0.2196299748947103,True
1,3,11,0.009238825416316043,5.4844904423162655,0.0016845366973443406,True
1,3,12,4.493118751783687,12.315064175339172,0.36484736805360096,True
1,3,13,0.34109066329462445,5.503824986279415,0.06197338471788902,True
1,3,14,0.3371190481786981,4.529899072214123,0.07442087402047153,True
1,3,15,3.5648703612604398,16.588498422126797,0.21490012360042113,True
1,3,16,2.5829544430959084,8.650644010654908,0.2985852197725985,True
1,3,17,2.2077367283651093,4.989464277492718,0.442479714370163,True
1,3,18,1.3249885869929308,8.205349019612228,0.16147863836455645,True
1,3,19,2.5244692037385104,10.287332488304576,0.24539589894742095,True
1,3,20,4.625529949923259,11.35162090123806,0.4074774862697166,True
1,3,21,1.5079233960522334,6.153384125189457,0.24505595057513263,True
1,3,22,1.2836520396554532,3.6210248934585527,0.35449964510721643,True
1,3,23,0.8580052463058512,9.101085808251067,0.09427504194367461,True
1,3,24,3.1535275831603693,9.987819982007483,0.31573732694835094,True
1,3,25,0.698341184867247,9.267985823150399,0.07534983309133558,True
1,3,26,0.40457446202086134,6.998302583974313,0.057810370038487935,True
1,3,27,1.217315023441265,11.945539062086489,0.10190540729173594,True
1,3,28,2.8058044810234657,11.627262990986297,0.24131254992671838,True
1,3,29,1.5088259721197752,5.600478941930734,0.26941016790960665,True
1,3,30,1.1526713694940633,11.458998542192221,0.10059093429935508,True
1,3,31,0.6835130995631049,11.71401124558705,0.05835004638744911,True
1,3,32,0.7463402421859904,8.013181226484969,0.09313906937724122,True
1,3,33,0.5901911026282163,12.95151636387013,0.04556926664391422,True
1,3,34,3.409656167315498,13.138686032367314,0.25951272135704956,True
1,3,35,1.5640216027486034,6.906663762696853,0.22645109947235914,True
1,3,36,0.36843108810677316,6.93008569562455,0.05316400175821629,True
1,3,37,0.010701687178954034,9.724308525000314,0.0011005088075353602,True
1,3,38,1.07453495969578,6.8375466794111315,0.15715212050125588,True
1,3,39,0.8813053613962438,7.07011530342441,0.12465219074565638,True
1,3,40,2.613750875237849,7.493439773956155,0.3488052155062456,True
1,3,41,3.5024713845902316,10.330591910502106,0.3390387903165171,True
1,3,42,1.9515343062618025,16.572808181456935,0.1177551978454288,True
